"Subject"	"Task"	"Observer"	"Black_C"	"Black_A"	"White_C"	"White_A"	"MeanC"	"AResids"	"CResids"
1	"WIT"	"Present"	0.145833333333333	0.560975609756098	0	0.333333333333333	0.0729166666666667	0.0840177062267094	0.139558000076119
2	"WIT"	"Absent"	0.479166666666667	0.4	0.479166666666667	0.68	0.479166666666667	-0.144670949134285	-0.0363509643288723
3	"WIT"	"Present"	0.1875	0.461538461538462	0.541666666666667	0.363636363636364	0.364583333333333	-0.0213384145088357	-0.394440539396188
5	"WIT"	"Present"	0.0416666666666667	0.630434782608696	0.0833333333333333	0.386363636363636	0.0625	0.143118677172965	-0.0531725444580823
6	"WIT"	"Absent"	0.208333333333333	0.631578947368421	0.395833333333333	0.379310344827586	0.302083333333333	0.14564053381186	-0.21862041979467
8	"WIT"	"Absent"	0.0625	0.577777777777778	0.0208333333333334	0.340425531914894	0.0416666666666667	0.0994345828080291	0.0340836972759017
10	"WIT"	"Absent"	0.5625	0.428571428571429	0.395833333333333	0.517241379310345	0.479166666666667	-0.0843085150666572	0.135546246871997
11	"WIT"	"Present"	0.375	0.633333333333333	0.3125	0.424242424242424	0.34375	0.138618512250215	0.0366101247395314
12	"WIT"	"Absent"	0.25	0.611111111111111	0.1875	0.692307692307692	0.21875	0.0640361485233983	0.044455941540833
13	"WIT"	"Present"	0.645833333333333	0.352941176470588	0.541666666666667	0.318181818181818	0.59375	-0.121057240799843	0.0638927939371451
14	"WIT"	"Absent"	0.375	0.633333333333333	0.541666666666667	0.590909090909091	0.458333333333333	0.106064163401706	-0.206940539396188
16	"WIT"	"Absent"	0.479166666666667	0.44	0.520833333333333	0.260869565217391	0.5	-0.0228038388126436	-0.080632903262638
17	"WIT"	"Present"	0.0833333333333334	0.545454545454546	0.125	0.428571428571429	0.104166666666667	0.0498941568688683	-0.0557878167251829
18	"WIT"	"Absent"	-0.0208333333333334	0.551020408163265	0.0625	0.177777777777778	0.0208333333333333	0.104446563559153	-0.0935315749911988
19	"WIT"	"Present"	0.666666666666667	0.125	0.333333333333333	0.90625	0.5	-0.463863477696135	0.306135821939314
20	"WIT"	"Absent"	0.666666666666667	0.9375	0.5	0.583333333333333	0.583333333333333	0.41171057319785	0.129008066204246
21	"WIT"	"Present"	0.625	0.555555555555556	0.583333333333333	0.4	0.604166666666667	0.0655759124867656	-0.00122247832995555
